Wavelength,Flux,BestFit,SkyFlux
3801.019,9.298,4.615,0.000
3801.894,9.297,4.572,0.000
3802.769,9.297,4.338,0.000
3803.645,9.296,4.384,0.000
3804.521,9.295,4.758,0.000
3805.397,9.295,4.894,0.000
3806.274,9.294,4.961,0.000
3807.150,9.294,5.139,0.000
3808.027,9.293,4.937,0.000
3808.904,9.293,4.760,0.000
3809.781,9.292,4.728,0.000
3810.658,9.291,4.405,5.567
3811.536,9.291,4.025,5.792
3812.414,2.653,4.082,5.761
3813.291,-2.399,4.029,5.799
3814.170,2.651,3.965,5.775
3815.048,5.582,4.001,5.792
3815.926,6.106,4.048,5.837
3816.805,6.266,4.369,5.788
3817.684,6.070,4.488,5.667
3818.563,7.015,4.635,5.586
3819.443,8.346,4.883,5.400
3820.322,8.286,4.985,5.274
3821.202,8.860,4.819,4.946
3822.082,10.142,4.922,4.622
3822.962,7.193,4.812,4.210
3823.843,6.825,5.034,3.827
3824.723,4.764,5.312,3.381
3825.604,14.626,5.269,3.047
3826.485,9.731,5.091,3.181
3827.366,5.184,5.292,3.797
3828.247,5.706,5.459,4.939
3829.129,8.051,5.302,6.233
3830.011,8.369,5.244,7.049
3830.893,3.894,5.387,7.270
3831.775,4.517,5.397,7.378
3832.657,1.944,5.432,7.703
3833.540,4.746,5.361,7.519
3834.423,5.462,5.524,6.555
3835.306,3.505,5.540,5.333
3836.189,2.699,5.328,4.573
3837.072,6.918,5.247,4.543
3837.956,7.302,5.083,4.786
3838.840,2.489,5.258,4.722
3839.724,7.939,5.254,4.304
3840.608,5.257,5.053,3.880
3841.493,1.463,4.966,3.583
3842.377,5.915,5.106,3.619
3843.262,8.765,5.091,3.542
3844.147,5.333,5.121,3.957
3845.032,7.271,5.029,4.787
3845.918,7.958,4.874,5.751
3846.803,1.532,4.783,6.108
3847.689,0.594,4.750,5.731
3848.575,6.221,4.641,5.131
3849.462,5.359,4.614,4.626
3850.348,8.035,4.925,4.798
3851.235,4.182,4.963,5.434
3852.122,3.271,4.649,6.059
3853.009,1.213,4.591,6.372
3853.896,3.216,4.575,5.947
3854.784,6.554,4.400,4.954
3855.671,4.311,4.586,3.949
3856.559,3.471,4.561,3.519
3857.447,7.244,4.105,3.704
3858.336,6.893,3.826,4.204
3859.224,-1.782,3.837,4.342
3860.113,2.491,3.738,4.112
3861.002,4.161,3.590,3.644
3861.891,6.174,3.702,3.348
3862.780,4.814,3.948,4.068
3863.670,3.878,3.911,4.362
3864.560,8.377,3.844,4.330
3865.449,4.146,3.936,3.957
3866.340,6.906,4.001,3.460
3867.230,6.020,4.204,3.146
3868.121,6.121,4.421,3.098
3869.011,4.450,4.318,3.259
3869.902,5.463,4.301,3.464
3870.793,3.772,4.156,3.503
3871.685,4.935,3.845,3.218
3872.576,6.045,3.690,2.745
3873.468,0.079,3.680,2.649
3874.360,4.753,3.435,3.125
3875.252,1.270,3.071,4.058
3876.145,-0.139,3.109,4.810
3877.037,3.124,3.176,4.932
3877.930,2.336,3.222,4.440
3878.823,3.810,3.277,3.747
3879.717,5.421,3.258,3.363
3880.610,4.245,3.231,3.437
3881.504,2.807,3.208,3.636
3882.398,3.720,3.465,3.557
3883.292,6.025,3.827,3.118
3884.186,0.831,3.962,2.838
3885.080,5.960,3.965,3.023
3885.975,5.819,4.570,3.507
3886.870,2.991,4.553,3.972
3887.765,5.034,4.733,3.972
3888.660,6.587,5.034,3.616
3889.556,4.651,5.205,3.163
