Wavelength,Flux,BestFit,SkyFlux
3730.0,104.45,104.45,104.45
3735.0,93.90,93.90,93.90
3740.0,93.44,93.44,93.44
3745.0,92.50,92.50,92.50
3750.0,98.50,98.50,98.50
3755.0,108.74,108.74,108.74
3760.0,112.40,112.40,112.40
3765.0,110.40,110.40,110.40
3770.0,118.13,118.13,118.13
3775.0,131.49,131.49,131.49
3780.0,141.44,141.44,141.44
3785.0,137.65,137.65,137.65
3790.0,122.60,122.60,122.60
3795.0,109.80,109.80,109.80
3800.0,115.20,115.20,115.20
3805.0,123.10,123.10,123.10
3810.0,124.90,124.90,124.90
3815.0,112.24,112.24,112.24
3820.0,95.43,95.43,95.43
3825.0,82.31,82.31,82.31
3830.0,73.60,73.60,73.60
3835.0,71.10,71.10,71.10
3840.0,82.10,82.10,82.10
3845.0,98.62,98.62,98.62
3850.0,108.02,108.02,108.02
3855.0,102.96,102.96,102.96
3860.0,99.11,99.11,99.11
3865.0,102.79,102.79,102.79
3870.0,103.54,103.54,103.54
3875.0,101.86,101.86,101.86
3880.0,100.67,100.67,100.67
3885.0,99.74,99.74,99.74
3890.0,108.10,108.10,108.10
3895.0,119.58,119.58,119.58
3900.0,125.19,125.19,125.19
3905.0,126.01,126.01,126.01
3910.0,133.22,133.22,133.22
3915.0,134.90,134.90,134.90
3920.0,124.00,124.00,124.00
3925.0,103.12,103.12,103.12
3930.0,74.50,74.50,74.50
3935.0,59.12,59.12,59.12
3940.0,76.68,76.68,76.68
3945.0,105.57,105.57,105.57
3950.0,124.50,124.50,124.50
3955.0,132.45,132.45,132.45
3960.0,116.26,116.26,116.26
3965.0,84.33,84.33,84.33
3970.0,65.20,65.20,65.20
3975.0,96.14,96.14,96.14
3980.0,130.10,130.10,130.10
3985.0,153.42,153.42,153.42
3990.0,162.45,162.45,162.45
3995.0,167.17,167.17,167.17
4000.0,168.85,168.85,168.85
4010.0,175.20,175.20,175.20
4020.0,181.40,181.40,181.40
4030.0,174.00,174.00,174.00
4040.0,176.30,176.30,176.30
4050.0,171.50,171.50,171.50
4060.0,166.60,166.60,166.60
4070.0,163.00,163.00,163.00
4080.0,169.90,169.90,169.90
4090.0,180.90,180.90,180.90
4100.0,153.70,153.70,153.70
4110.0,171.50,171.50,171.50
4120.0,181.60,181.60,181.60
4130.0,173.92,173.92,173.92
4140.0,171.44,171.44,171.44
4150.0,176.88,176.88,176.88
4160.0,181.50,181.50,181.50
4170.0,176.60,176.60,176.60
4180.0,168.50,168.50,168.50
4190.0,174.90,174.90,174.90
4200.0,159.90,159.90,159.90
4210.0,181.10,181.10,181.10
4220.0,178.20,178.20,178.20
4230.0,172.10,172.10,172.10
4240.0,170.80,170.80,170.80
4250.0,175.50,175.50,175.50
4260.0,169.90,169.90,169.90
4270.0,163.80,163.80,163.80
4280.0,165.10,165.10,165.10
4290.0,152.30,152.30,152.30
4300.0,121.20,121.20,121.20
4310.0,109.90,109.90,109.90
4320.0,182.20,182.20,182.20
4330.0,169.13,169.13,169.13
4340.0,156.00,156.00,156.00
4350.0,170.90,170.90,170.90
4360.0,186.80,186.80,186.80
4370.0,190.00,190.00,190.00
4380.0,166.30,166.30,166.30
4390.0,160.10,160.10,160.10
4400.0,183.00,183.00,183.00
4410.0,179.90,179.90,179.90
4420.0,192.20,192.20,192.20
4430.0,194.90,194.90,194.90
4440.0,189.41,189.41,189.41
4450.0,196.50,196.50,196.50
4460.0,175.57,175.57,175.57
4470.0,199.00,199.00,199.00
4480.0,201.40,201.40,201.40
4490.0,200.10,200.10,200.10
4500.0,206.90,206.90,206.90
4510.0,214.20,214.20,214.20
4520.0,204.70,204.70,204.70
4530.0,188.64,188.64,188.64
4540.0,201.80,201.80,201.80
4550.0,200.10,200.10,200.10
4560.0,206.30,206.30,206.30
4570.0,207.70,207.70,207.70
4580.0,203.20,203.20,203.20
4590.0,201.20,201.20,201.20
4600.0,199.73,199.73,199.73
4610.0,206.39,206.39,206.39
4620.0,207.80,207.80,207.80
4630.0,208.40,208.40,208.40
4640.0,201.50,201.50,201.50
4650.0,198.40,198.40,198.40
4660.0,202.10,202.10,202.10
4670.0,193.10,193.10,193.10
4680.0,201.20,201.20,201.20
4690.0,201.80,201.80,201.80
4700.0,193.90,193.90,193.90
4710.0,196.90,196.90,196.90
4720.0,207.00,207.00,207.00
4730.0,198.82,198.82,198.82
4740.0,201.20,201.20,201.20
4750.0,208.00,208.00,208.00
4760.0,201.20,201.20,201.20
4770.0,202.50,202.50,202.50
4780.0,208.60,208.60,208.60
4790.0,204.00,204.00,204.00
4800.0,206.80,206.80,206.80
4810.0,206.10,206.10,206.10
4820.0,206.23,206.23,206.23
4830.0,203.10,203.10,203.10
4840.0,198.90,198.90,198.90
4850.0,197.90,197.90,197.90
4860.0,160.10,160.10,160.10
4870.0,178.90,178.90,178.90
4880.0,193.50,193.50,193.50
4890.0,182.24,182.24,182.24
4900.0,203.20,203.20,203.20
4910.0,194.90,194.90,194.90
4920.0,185.60,185.60,185.60
4930.0,198.30,198.30,198.30
4940.0,193.39,193.39,193.39
4950.0,205.10,205.10,205.10
4960.0,194.90,194.90,194.90
4970.0,198.00,198.00,198.00
4980.0,192.40,192.40,192.40
4990.0,192.30,192.30,192.30
5000.0,191.60,191.60,191.60
5010.0,185.80,185.80,185.80
5020.0,186.00,186.00,186.00
5030.0,194.90,194.90,194.90
5040.0,183.30,183.30,183.30
5050.0,194.72,194.72,194.72
5060.0,202.50,202.50,202.50
5070.0,193.54,193.54,193.54
5080.0,188.00,188.00,188.00
5090.0,196.50,196.50,196.50
5100.0,191.00,191.00,191.00
5110.0,194.10,194.10,194.10
5120.0,198.90,198.90,198.90
5130.0,186.60,186.60,186.60
5140.0,182.40,182.40,182.40
5150.0,187.50,187.50,187.50
5160.0,189.10,189.10,189.10
5170.0,153.90,153.90,153.90
5180.0,175.90,175.90,175.90
5190.0,170.40,170.40,170.40
5200.0,186.00,186.00,186.00
5210.0,187.30,187.30,187.30
5220.0,191.50,191.50,191.50
5230.0,180.40,180.40,180.40
5240.0,194.10,194.10,194.10
5250.0,192.80,192.80,192.80
5260.0,187.40,187.40,187.40
5270.0,164.10,164.10,164.10
5280.0,188.00,188.00,188.00
5290.0,196.90,196.90,196.90
5300.0,189.20,189.20,189.20
5310.0,199.50,199.50,199.50
5320.0,195.80,195.80,195.80
5330.0,174.70,174.70,174.70
5340.0,186.90,186.90,186.90
5350.0,189.50,189.50,189.50
5360.0,197.40,197.40,197.40
5370.0,182.40,182.40,182.40
5380.0,191.30,191.30,191.30
5390.0,186.40,186.40,186.40
5400.0,180.00,180.00,180.00
5410.0,173.40,173.40,173.40
5420.0,188.80,188.80,188.80
5430.0,185.10,185.10,185.10
5440.0,191.90,191.90,191.90
5450.0,187.40,187.40,187.40
5460.0,186.09,186.09,186.09
5470.0,188.20,188.20,188.20
5480.0,182.60,182.60,182.60
5490.0,188.00,188.00,188.00
5500.0,186.30,186.30,186.30
5510.0,185.90,185.90,185.90
5520.0,189.60,189.60,189.60
5530.0,184.20,184.20,184.20
5540.0,187.80,187.80,187.80
5550.0,188.90,188.90,188.90
5560.0,185.70,185.70,185.70
5570.0,181.20,181.20,181.20
5580.0,185.30,185.30,185.30
5590.0,175.50,175.50,175.50
5600.0,178.60,178.60,178.60
5610.0,189.00,189.00,189.00
5620.0,180.10,180.10,180.10
5630.0,187.10,187.10,187.10
5640.0,183.60,183.60,183.60
5650.0,184.90,184.90,184.90
5660.0,175.00,175.00,175.00
5670.0,186.80,186.80,186.80
5680.0,185.90,185.90,185.90
5690.0,183.10,183.10,183.10
5700.0,182.80,182.80,182.80
5710.0,176.20,176.20,176.20
5720.0,187.20,187.20,187.20
5730.0,188.10,188.10,188.10
5740.0,187.30,187.30,187.30
5750.0,183.40,183.40,183.40
5760.0,181.80,181.80,181.80
5770.0,186.20,186.20,186.20
5780.0,179.90,179.90,179.90
5790.0,181.60,181.60,181.60
5800.0,183.40,183.40,183.40
5810.0,183.30,183.30,183.30
5820.0,185.20,185.20,185.20
5830.0,186.30,186.30,186.30
5840.0,185.40,185.40,185.40
5850.0,183.60,183.60,183.60
5860.0,179.20,179.20,179.20
5870.0,183.80,183.80,183.80
5880.0,182.10,182.10,182.10
5890.0,162.40,162.40,162.40
5900.0,172.18,172.18,172.18
5910.0,180.90,180.90,180.90
5920.0,178.80,178.80,178.80
5930.0,179.20,179.20,179.20
5940.0,178.90,178.90,178.90
5950.0,177.80,177.80,177.80
5960.0,179.60,179.60,179.60
5970.0,180.60,180.60,180.60
5980.0,177.20,177.20,177.20
5990.0,176.40,176.40,176.40
6000.0,177.00,177.00,177.00
6010.0,174.20,174.20,174.20
6020.0,171.50,171.50,171.50
6030.0,174.90,174.90,174.90
6040.0,177.90,177.90,177.90
6050.0,177.30,177.30,177.30
6060.0,175.80,175.80,175.80
6070.0,176.20,176.20,176.20
6080.0,175.10,175.10,175.10
6090.0,173.40,173.40,173.40
6100.0,172.40,172.40,172.40
6110.0,171.20,171.20,171.20
6120.0,173.60,173.60,173.60
6130.0,171.00,171.00,171.00
6140.0,165.50,165.50,165.50
6150.0,171.20,171.20,171.20
6160.0,166.40,166.40,166.40
6170.0,164.10,164.10,164.10
6180.0,170.20,170.20,170.20
6190.0,170.90,170.90,170.90
6200.0,171.10,171.10,171.10
6210.0,172.40,172.40,172.40
6220.0,167.84,167.84,167.84
6230.0,168.20,168.20,168.20
6240.0,166.70,166.70,166.70
6250.0,164.40,164.40,164.40
6260.0,164.00,164.00,164.00
6270.0,169.30,169.30,169.30
6280.0,169.30,169.30,169.30
6290.0,168.70,168.70,168.70
6300.0,166.50,166.50,166.50
6310.0,165.90,165.90,165.90
6320.0,159.01,159.01,159.01
6330.0,167.40,167.40,167.40
6340.0,163.70,163.70,163.70
6350.0,165.20,165.20,165.20
6360.0,160.93,160.93,160.93
6370.0,166.10,166.10,166.10
6380.0,166.50,166.50,166.50
6390.0,165.30,165.30,165.30
6400.0,161.30,161.30,161.30
6410.0,161.00,161.00,161.00
6420.0,160.90,160.90,160.90
6430.0,162.50,162.50,162.50
6440.0,161.40,161.40,161.40
6450.0,162.70,162.70,162.70
6460.0,159.10,159.10,159.10
6470.0,160.60,160.60,160.60
6480.0,160.20,160.20,160.20
6490.0,155.10,155.10,155.10
6500.0,152.60,152.60,152.60
6510.0,161.30,161.30,161.30
6520.0,159.10,159.10,159.10
6530.0,159.80,159.80,159.80
6540.0,157.50,157.50,157.50
6550.0,152.30,152.30,152.30
6560.0,132.33,132.33,132.33
6570.0,138.40,138.40,138.40
6580.0,153.90,153.90,153.90
6590.0,154.20,154.20,154.20
6600.0,155.80,155.80,155.80
6610.0,156.60,156.60,156.60
6620.0,157.10,157.10,157.10
6630.0,156.30,156.30,156.30
6640.0,155.40,155.40,155.40
6650.0,156.70,156.70,156.70
6660.0,155.50,155.50,155.50
6670.0,153.54,153.54,153.54
6680.0,153.48,153.48,153.48
6690.0,155.80,155.80,155.80
6700.0,153.40,153.40,153.40
6710.0,152.90,152.90,152.90
6720.0,150.60,150.60,150.60
6730.0,151.70,151.70,151.70
6740.0,151.30,151.30,151.30
6750.0,149.90,149.90,149.90
6760.0,151.50,151.50,151.50
6770.0,150.00,150.00,150.00
6780.0,150.70,150.70,150.70
6790.0,149.30,149.30,149.30
6800.0,149.40,149.40,149.40
6810.0,148.70,148.70,148.70
6820.0,149.30,149.30,149.30
6830.0,147.60,147.60,147.60
6840.0,146.60,146.60,146.60
6850.0,146.50,146.50,146.50
6860.0,143.30,143.30,143.30
6870.0,147.20,147.20,147.20
6880.0,147.60,147.60,147.60
6890.0,147.80,147.80,147.80
