Wavelength,Flux,BestFit,SkyFlux
3968.259,33.848,25.180,5.719
3969.173,29.292,16.718,5.074
3970.087,21.978,16.675,4.972
3971.001,32.824,20.984,5.031
3971.915,37.607,28.081,5.460
3972.830,39.391,37.107,7.048
3973.745,42.721,45.968,8.120
3974.660,52.132,53.387,9.394
3975.575,59.421,61.602,10.433
3976.491,62.951,68.502,10.693
3977.407,69.245,74.518,10.899
3978.323,73.160,80.119,11.930
3979.239,71.517,84.458,13.668
3980.155,77.269,88.561,14.224
3981.072,81.805,93.497,13.968
3981.988,83.858,96.854,13.476
3982.905,86.122,98.259,12.994
3983.823,88.071,99.328,13.412
3984.740,90.016,101.342,14.180
3985.658,94.298,102.648,14.181
3986.576,96.173,103.844,12.867
3987.494,94.176,107.284,12.031
3988.412,100.401,108.022,13.153
3989.330,102.320,106.926,14.491
3990.249,102.928,110.508,14.834
3991.168,105.577,110.639,13.896
3992.087,109.972,110.701,13.228
3993.006,108.650,111.410,14.656
3993.926,102.684,111.521,16.266
3994.846,102.812,111.035,16.291
3995.766,106.161,111.082,14.349
3996.686,104.646,110.209,12.351
3997.606,103.378,109.709,12.252
3998.527,105.301,109.795,12.959
3999.447,104.817,111.181,12.791
4000.369,100.434,111.722,13.976
4001.290,108.922,109.237,14.675
4002.211,114.205,111.020,15.393
4003.133,111.780,111.732,15.944
4004.055,109.019,110.899,16.295
4004.977,111.567,109.894,15.635
4005.899,112.630,109.577,14.194
4006.822,109.460,110.071,13.802
4007.744,110.957,111.349,15.123
4008.667,108.324,110.007,17.099
4009.590,118.246,110.136,17.413
4010.514,114.230,111.631,16.953
4011.437,117.925,112.806,16.924
4012.361,110.909,113.415,17.570
4013.285,114.514,113.065,17.240
4014.209,116.363,112.885,17.078
4015.134,113.035,113.531,16.988
4016.058,113.684,113.939,16.507
4016.983,114.434,114.080,15.763
4017.908,113.139,115.209,15.394
4018.833,113.967,115.751,15.812
4019.759,111.028,114.354,17.172
4020.685,115.061,113.027,17.723
4021.610,113.694,112.275,17.263
4022.537,110.398,111.662,17.080
4023.463,109.774,111.007,16.749
4024.389,112.437,110.065,15.761
4025.316,112.650,107.500,15.400
4026.243,110.029,105.304,15.840
4027.170,109.379,105.448,16.389
