Wavelength,Flux,BestFit,SkyFlux
3966.432,5.169,7.851,3.178
3967.345,3.651,7.242,2.994
3968.259,2.506,6.543,2.926
3969.173,0.917,6.010,2.864
3970.087,2.893,5.790,2.760
3971.001,3.982,5.957,2.844
3971.915,2.924,6.454,3.049
3972.830,4.102,7.071,3.576
3973.745,5.832,7.655,4.231
3974.660,5.419,8.252,4.740
3975.575,6.339,8.950,4.891
3976.491,10.333,9.682,4.946
3977.407,11.815,10.181,5.448
3978.323,9.677,10.680,5.750
3979.239,11.916,11.203,5.957
3980.155,12.095,11.684,5.810
3981.072,12.718,12.302,5.636
3981.988,12.920,12.945,5.652
3982.905,11.336,12.670,5.996
3983.823,10.291,12.323,6.498
3984.740,11.754,12.158,6.730
3985.658,13.587,12.256,6.379
3986.576,13.524,12.485,5.689
3987.494,13.697,12.619,5.448
3988.412,14.483,12.772,5.939
3989.330,13.344,13.553,6.594
3990.249,13.513,13.711,6.739
3991.168,13.385,13.291,6.350
3992.087,11.969,13.064,5.947
3993.006,12.197,13.468,6.087
3993.926,14.160,13.922,6.517
3994.846,14.055,13.960,6.612
3995.766,12.288,13.524,6.359
3996.686,12.880,13.200,6.035
3997.606,12.964,12.974,5.811
3998.527,11.279,12.464,5.841
3999.447,11.285,12.233,6.387
4000.369,11.592,12.939,6.866
4001.290,14.558,13.807,6.697
4002.211,15.824,14.086,6.138
4003.133,14.902,14.210,5.721
4004.055,14.153,14.742,5.823
4004.977,13.909,14.387,6.125
4005.899,13.375,13.002,5.974
4006.822,10.467,11.603,5.545
4007.744,11.285,11.569,5.965
4008.667,13.720,12.736,7.194
4009.590,14.702,13.761,7.913
4010.514,14.209,14.232,7.579
4011.437,16.186,14.283,7.233
4012.361,15.374,14.340,7.558
4013.285,13.445,14.609,7.958
4014.209,14.827,14.750,7.888
4015.134,16.570,14.519,7.615
4016.058,14.913,14.706,7.257
4016.983,11.449,15.051,7.218
4017.908,14.541,14.527,7.272
4018.833,12.763,13.995,7.421
4019.759,12.474,14.172,7.959
4020.685,14.248,14.772,8.354
4021.610,14.529,15.161,8.235
4022.537,14.093,14.639,7.990
4023.463,15.066,14.614,8.060
4024.389,14.824,14.699,8.261
4025.316,12.768,14.411,7.997
4026.243,14.172,14.073,7.597
4027.170,13.942,14.110,7.180
4028.098,15.212,14.527,7.035
4029.025,15.435,15.189,6.976
4029.953,16.555,15.386,6.877
4030.881,14.291,14.515,6.520
4031.809,13.738,12.764,6.179
4032.738,12.638,11.403,5.997
4033.667,10.215,11.007,6.034
4034.596,9.648,10.942,6.126
4035.525,11.178,11.066,6.017
4036.454,15.438,11.826,6.108
4037.383,13.427,13.451,6.554
4038.313,15.922,14.997,7.080
4039.243,18.586,15.997,6.995
4040.173,16.244,16.183,6.899
4041.104,16.693,15.506,7.051
4042.034,15.150,14.611,7.553
4042.965,14.071,14.463,8.171
4043.896,15.195,14.895,8.695
4044.827,14.415,13.996,9.234
4045.759,12.624,11.837,11.490
4046.691,11.766,9.761,16.460
4047.622,9.394,9.133,20.246
4048.555,6.401,10.439,18.095
4049.487,11.904,12.580,12.768
4050.419,15.176,14.033,9.542
4051.352,16.618,15.088,8.587
4052.285,17.284,15.448,8.015
4053.218,16.865,15.199,7.350
4054.152,14.653,14.899,7.254
4055.085,13.875,14.447,7.682
4056.019,16.510,14.021,7.801
4056.953,13.959,13.815,6.991
4057.887,15.262,13.657,6.087
4058.822,14.061,13.246,6.230
4059.757,11.830,12.710,7.032
4060.692,13.449,13.064,7.405
4061.627,14.312,14.273,7.322
4062.562,15.947,14.307,7.202
4063.498,15.025,12.974,7.488
4064.433,12.070,11.056,8.178
4065.369,11.255,9.897,8.716
4066.305,10.510,11.161,8.701
4067.242,11.708,12.363,8.399
4068.178,14.022,12.734,8.234
4069.115,16.631,13.229,8.336
4070.052,14.815,14.245,8.469
4070.990,14.570,14.838,8.379
4071.927,14.372,13.781,7.838
4072.865,11.490,11.542,7.136
4073.803,10.440,11.253,6.757
4074.741,13.972,12.792,6.991
4075.679,15.847,14.249,7.657
4076.618,14.729,14.173,8.350
4077.557,17.889,13.127,9.068
4078.496,12.616,12.278,9.450
4079.435,13.122,12.037,8.988
4080.374,13.428,12.815,8.648
4081.314,14.819,14.329,8.649
4082.254,15.369,15.626,8.653
4083.194,14.991,16.124,8.248
4084.134,16.534,15.775,7.565
4085.075,15.855,14.982,7.287
4086.015,13.680,14.427,7.458
4086.956,16.348,14.544,7.897
4087.898,15.725,15.442,8.017
4088.839,18.324,16.984,7.685
4089.781,17.066,17.808,7.391
4090.722,20.168,17.845,7.512
4091.664,17.225,17.512,7.590
4092.607,17.647,17.052,7.272
4093.549,17.780,16.547,6.993
4094.492,17.171,16.353,7.005
4095.435,16.616,16.883,7.046
4096.378,16.842,16.069,6.713
4097.321,17.613,14.675,6.206
4098.265,14.897,14.032,6.349
4099.208,15.536,14.251,6.247
4100.152,15.141,14.521,5.981
4101.097,15.856,14.495,5.788
4102.041,12.807,13.496,5.533
4102.986,12.516,12.557,5.124
4103.931,14.061,12.731,5.059
4104.876,14.823,13.789,5.344
4105.821,15.434,14.425,5.617
4106.766,15.561,15.124,5.827
4107.712,15.296,15.642,6.152
4108.658,16.111,15.778,6.618
4109.604,14.575,15.617,6.779
4110.551,15.188,15.387,6.277
4111.497,15.916,15.144,5.880
4112.444,14.277,14.919,6.120
4113.391,13.575,14.754,6.447
4114.338,14.434,15.079,6.493
4115.286,15.151,15.690,6.722
4116.233,15.507,15.873,6.964
4117.181,16.481,15.867,6.830
4118.130,16.888,16.124,6.257
